id,code,name,pack_per_karton_sekarang,pack_per_karton_baru
310,3050106001,WIP FALMED ALCOHOL SWAB 1S,NULL,
297,3050106003,WIP FALMED EXTRA THICK TOWEL 4S,NULL,
304,3050106004,WIP FALMED KASSA STERIL 5X4,NULL,
306,3050106005,WIP FALMED KASSA STERIL 5X6,NULL,
308,3050106006,WIP FALMED KASSA STERIL 7.5X7.5,NULL,
296,3050106002,WIP FALMED WASH GLOVE GREEN TEA 8S,NULL,
336,3050201006,WIP GLOVECLEAN 2S,NULL,
331,3050201005,WIP HYGIENE QUALITY 1S,NULL,
328,3050201011,WIP INDOMARET ALCOHOL WIPES 10S,NULL,108
326,3050201002,WIP INDOMARET BABY WIPES 50S,NULL,24
327,3050201003,WIP INDOMARET WET WIPES 10S,NULL,108
319,3050201001,WIP INDOMARET WET WIPES 50S,NULL,24
333,3050201004,WIP LARISST 50S,NULL,24
318,3050108001,WIP MAGIC CLEAN WET 30S,NULL,
378,3050201007,WIP OCTENIC 4S,NULL,
353,3050201017,WIP QUEEN  SACHET RESTAURANT 1S,NULL,
337,3050201008,WIP SANSFLUO TOOTH & GUM 1S,NULL,
334,3050201010,WIP SHINECOAT CAT WET WIPES 50S,NULL,
335,3050201009,WIP SHINECOAT DOG WET WIPES 50S,NULL,
329,3050201012,WIP STARDEC WASH GLOVES 4S,NULL,
330,3050201013,WIP STARDEC WASH GLOVES 8S,NULL,
312,3050107002,WIP VOLARE HAND & MOUTH FOOD GRADE 50S,NULL,24
311,3050107001,WIP VOLARE HAND & MOUTH FOOD GRADE 80S,NULL,
289,3050103001,WIP WETKINS ANTISEPTIC 50S,NULL,24
284,3050101002,WIP WETKINS BABY BLUE 10S,NULL,108
285,3050101001,WIP WETKINS BABY BLUE 50S,NULL,24
286,3050102002,WIP WETKINS BABY PINK 10S,NULL,108
288,3050102001,WIP WETKINS BABY PINK 50S,NULL,24
292,3050104001,WIP WETKINS BAYI BARU LAHIR 50S,NULL,24
293,3050104002,WIP WETKINS BAYI BARU LAHIR 80S,NULL,
291,3050109001,WIP WETKINS CLEAN & FLUSH 30S,NULL,
290,3050109002,WIP WETKINS CLEAN & FLUSH 72S,NULL,
294,3050105001,WIP WETKINS GANTI POPOK 50S,NULL,24
295,3050105002,WIP WETKINS GANTI POPOK 80S,NULL,
320,5,0.0022773,NULL,
321,12,0.0054631,NULL,
323,1375,0.0062625,NULL,
324,2063,0.0093982,NULL,
322,125,0.056991,NULL,
379,0.3803168,10.6196832,NULL,
325,0.99361,4.525471976,NULL,
367,4060100003,BAG WETKINS 50S BLUE,NULL,
373,4060100007,BAG WETKINS 50S GREY,NULL,
364,4060100001,BAG WETKINS 50S ORANGE,NULL,
370,4060100005,BAG WETKINS 50S PINK,NULL,
368,4060100004,BAG WETKINS 80S  BLUE,NULL,
371,4060100006,BAG WETKINS 80S  PINK,NULL,
374,4060100008,BAG WETKINS 80S GREY,NULL,
365,4060100002,BAG WETKINS 80S ORANGE,NULL,
359,4050200003,BANTAL HELA DELUXE QUEEN 50X70 CM,NULL,
360,4050200004,BANTAL HELA DELUXE STANDARD 45X65 CM,NULL,
357,4050200001,BANTAL HELA SIGNATURE QUEEN 50X70 CM,NULL,
358,4050200002,BANTAL HELA SIGNATURE STANDARD 45X65 CM,NULL,
356,4050100002,BANTAL SYNTEC 100% SILICONE FIBER 45X65 CM,NULL,
355,4050100003,BANTAL SYNTEC GOOOSE DOWN S 100%W 45X65 CM,NULL,
354,4050100001,BANTAL SYNTEC GOOOSE DOWN SYNTETIC 45X65 CM,NULL,
361,4050300001,BANTAL VOLARE HOTEL SERIES 50X75 CM,NULL,
251,4021301002,BED LINER ROLL GSM 100 (70-6H) L:75CMXP300M,1,
349,4030204001,FALMED APD SB NON SEAL ALL SIZE,NULL,
348,4030203001,FALMED APD SB SEAL ALL SIZE,NULL,
347,4030202005,FALMED APD SFS NON SEAL ALL SIZE,NULL,
346,4030201005,FALMED APD SFS SEAL ALL SIZE,NULL,
352,4010231002,FALMED BED LINER 75CMXP155CM 10S @5,NULL,
250,4010229002,FALMED BED SHEET (MICROPORUS) 1S @20,NULL,
249,4010229001,FALMED BED SHEET 1S @20,NULL,
298,4010224009,FALMED EXTRA THICK TOWEL 4S @8X8,NULL,
238,4010226004,FALMED KASSA NONWOVEN  @560,NULL,
305,4010226006,FALMED KASSA STERIL 5X4 1S ALL SIZE @40X10,NULL,
307,4010226007,FALMED KASSA STERIL 5X6 1S ALL SIZE @40X10,NULL,
309,4010226008,FALMED KASSA STERIL 7.5X7.5 1S ALL SIZE @40X10,NULL,
257,4010225003,FALMED MASKER L ABU 10S @50X10,NULL,
300,4010225021,FALMED MASKER L ABU 50S @24X50,NULL,
254,4010225001,FALMED MASKER L BIRU 10S @24X5X10,NULL,
255,4010225002,FALMED MASKER L BIRU 10S @50X10,NULL,
272,4010225017,FALMED MASKER L BIRU 12S @48X12,NULL,
256,4010225018,FALMED MASKER L BIRU 1S @500,NULL,
299,4010225020,FALMED MASKER L BIRU 50S @24X50,NULL,
258,4010225004,FALMED MASKER L ORANGE 10S @50X10,NULL,
303,4010225024,FALMED MASKER L ORANGE 50S @24X50,NULL,
259,4010225005,FALMED MASKER L PINK 10S @50X10,NULL,
302,4010225023,FALMED MASKER L PINK 50S @24X50,NULL,
260,4010225006,FALMED MASKER L PUTIH 10S @50X10,NULL,
261,4010225019,FALMED MASKER L PUTIH 1S @500,NULL,
301,4010225022,FALMED MASKER L PUTIH 50S @24X50,NULL,
262,4010225007,FALMED MASKER M ABU 10S @50X10,NULL,
263,4010225008,FALMED MASKER M BIRU 10S @50X10,NULL,
264,4010225009,FALMED MASKER M ORANGE 10S @50X10,NULL,
265,4010225010,FALMED MASKER M PINK 10S @50X10,NULL,
266,4010225011,FALMED MASKER M PUTIH 10S @50X10,NULL,
267,4010225012,FALMED MASKER S ABU 10S @50X10,NULL,
268,4010225013,FALMED MASKER S BIRU 10S @50X10,NULL,
269,4010225014,FALMED MASKER S ORANGE 10S @50X10,NULL,
270,4010225015,FALMED MASKER S PINK 10S @50X10,NULL,
271,4010225016,FALMED MASKER S PUTIH 10S @50X10,NULL,
350,4030400001,FALMED SURGICAL GOWN,NULL,
233,4010800002,GRADE B (EX-NTUC) 35X60 1 KG,NULL,
362,4050100004,GULING SYNTEC GOOOSE DOWN 100%W L:86D:24CM,NULL,
332,4020401006,HYGIENE QUALITY 1S @14x50,NULL,
376,3060200002,JR SL 100GSMX15CM (FN70-6H),NULL,
343,3060200001,JR SL 100GSMX75CM (FN70-6H),NULL,
377,3060200003,KAIN GLOVE 15CMX45CM (FN70-6H),NULL,
366,3040100004,KAIN SF 100GSMX152CM BLUE,NULL,
372,3040100006,KAIN SF 100GSMX152CM GREY,NULL,
363,3040100003,KAIN SF 100GSMX152CM ORANGE,NULL,
369,3040100005,KAIN SF 100GSMX152CM PINK,NULL,
344,3040100007,KAIN SF 100GSMX165CM (FN70-25D),NULL,
345,3040100008,KAIN SF 100GSMX30CM (FN70-25D),NULL,
341,3040200001,KAIN SL 100GSMX165CM (FN70-6H) BL,NULL,
